imdbId,Imdb Link,Title,IMDB Score,Action,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Musical,Mystery,Romance,Sci-Fi,Short,Sport,Thriller,War,Western
3521134,http://www.imdb.com/title/tt3521134,The Look of Silence (2014),0.8300000000000001,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1679227,http://www.imdb.com/title/tt1679227,This American Journey (2013),0.8300000000000001,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5134976,http://www.imdb.com/title/tt5134976,Hotel Dallas (2016),0.8300000000000001,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4097108,http://www.imdb.com/title/tt4097108,Beyond the Fear (2015),0.8300000000000001,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2447750,http://www.imdb.com/title/tt2447750,The Paw Project (2013),0.8300000000000001,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2137916,http://www.imdb.com/title/tt2137916,The Chemical Brothers: Don't Think (2012),0.8300000000000001,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1778338,http://www.imdb.com/title/tt1778338,The Culture High (2014),0.8300000000000001,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4175088,http://www.imdb.com/title/tt4175088,Radical Grace (2015),0.8300000000000001,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1670995,http://www.imdb.com/title/tt1670995,Pretty Sweet (2012),0.8300000000000001,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3455224,http://www.imdb.com/title/tt3455224,Virunga (2014),0.8300000000000001,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3670792,http://www.imdb.com/title/tt3670792,Learning to Ride (2014),0.8300000000000001,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2106476,http://www.imdb.com/title/tt2106476,Jagten (2012),0.8300000000000001,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2827320,http://www.imdb.com/title/tt2827320,Fandry (2013),0.8300000000000001,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
